compound_a,compound_b,severity,evidence_grade,mechanism_tags,effect_summary,action,source_ids
coq10,omega3,None,C,cardiovascular_synergy,Both support mitochondrial and cardiovascular health; no adverse interaction documented.,Beneficial to combine,SRC12
collagen,vitamin_c,None,A,collagen_synthesis,Vitamin C is essential cofactor for hydroxylation of proline and lysine in collagen synthesis.,Always take vitamin C with collagen for optimal efficacy,SRC18
probiotics,iron,Mild,B,microbiome_absorption,Certain probiotic strains may slightly improve non-heme iron absorption.,Take together or space by 30 min; generally compatible,SRC19
zinc,vitamin_d,None,C,immune_synergy,Both support immune function through complementary pathways; no adverse interaction.,Can be taken together,SRC6
l_theanine,gaba,None,C,gaba_potentiation,L-theanine increases alpha brain waves and GABA receptor activity; additive calming with GABA.,Combine at low-moderate doses for relaxation,SRC3
gaba,melatonin,None,C,sleep_synergy,GABA reduces sleep onset latency; melatonin regulates circadian timing. Complementary.,Combine at start of sleep routine,SRC10
caffeine,5htp,Mild,C,serotonin_depletion,Chronic caffeine may deplete serotonin over time; 5-HTP supplementation may offset this.,Consider 5-HTP for long-term high caffeine users,SRC10
rhodiola,caffeine,None,C,cns_synergy,Rhodiola reduces mental fatigue; may have additive focus effect with caffeine.,Generally safe to combine at normal doses,SRC14
ashwagandha,melatonin,None,C,cortisol_sleep,Ashwagandha lowers cortisol and may improve sleep quality independently; additive with melatonin.,Good combination for stress/sleep protocol,SRC11
lions_mane,nac,None,D,neuroprotection,Both support neurological health via different mechanisms; no adverse interaction documented.,Can be combined,SRC9
protein,creatine,None,A,ergogenic_synergy,Whey protein and creatine together superior to either alone for lean mass gains.,Excellent combination — take post-workout,SRC2
b12,iron,None,C,methylation_support,Both critical for erythropoiesis; no competition at normal doses.,Can be taken together,SRC4
caffeine,vitamin_d,None,D,none,No clinically significant interaction documented.,No action needed,SRC1
omega3,magnesium,None,C,cardiovascular_synergy,Complementary cardiovascular and anti-inflammatory effects; no adverse interaction.,Good combination for cardiovascular health protocol,SRC7
alpha-gpc,caffeine,None,C,cholinergic;CNS;focus,Related via: cholinergic;CNS;focus,,examine:alpha-gpc;examine:caffeine
bacopa,ginkgo,None,C,nootropic;attention;memory,Related via: nootropic;attention;memory,,examine:bacopa;examine:ginkgo
chromium-picolinate,berberine,Mild,C,glucose-metabolism;additive,Potential additive effect on glucose; monitor for lightheadedness.,Potential additive effect on glucose; monitor for lightheadedness.,examine:chromium-picolinate;examine:berberine
berberine,nac,Mild,C,glucose-metabolism;caution,"If sensitive to glucose changes, monitor response.","If sensitive to glucose changes, monitor response.",examine:berberine;examine:nac
beta-alanine,l-citrulline,None,B,exercise;buffering;nitric-oxide;synergy,Related via: exercise;buffering;nitric-oxide;synergy,,examine:beta-alanine;examine:l-citrulline
green-tea-extract,caffeine,None,B,thermogenesis;synergy;CNS,Related via: thermogenesis;synergy;CNS,,examine:green-tea-extract;examine:caffeine
taurine,caffeine,Mild,C,CNS;stimulant-load;cardiovascular,Monitor total stimulant load; avoid high-dose combinations.,Monitor total stimulant load; avoid high-dose combinations.,examine:taurine;examine:caffeine
glucosamine,chondroitin,None,B,joint-health;structural;common-combo,Related via: joint-health;structural;common-combo,,examine:glucosamine;examine:chondroitin
omega3,curcumin,None,C,anti-inflammatory;nfkb;complementary,Related via: anti-inflammatory;nfkb;complementary,,examine:fish-oil;examine:curcumin
resveratrol,curcumin,None,C,polyphenols;antioxidant;complementary,Related via: polyphenols;antioxidant;complementary,,examine:resveratrol;examine:curcumin
omega3,ginger,Mild,C,antiplatelet;bleeding-risk;caution,"If bruising occurs, consider spacing or reducing doses.","If bruising occurs, consider spacing or reducing doses.",examine:fish-oil;examine:ginger
msm,glucosamine,None,C,joint-health;common-combo,Related via: joint-health;common-combo,,examine:msm;examine:glucosamine
magnesium,melatonin,None,C,sleep;relaxation;cofactor,Related via: sleep;relaxation;cofactor,,examine:magnesium;examine:melatonin
vitamin_d,vitamin-k2-mk7,None,B,bone-health;cofactor;calcium-metabolism,Related via: bone-health;cofactor;calcium-metabolism,,examine:vitamin-d3;examine:vitamin-k2-mk7
